"muniid","municipality","hosp_number","population","hosp_number_per_inhabitants","date"
"796","'s-Hertogenbosch",84,155113,54.2,"2020-04-05"
"1680","Aa en Hunze",1,25453,3.9,"2020-04-05"
"358","Aalsmeer",7,31857,22,"2020-04-05"
"197","Aalten",1,27117,3.7,"2020-04-05"
"59","Achtkarspelen",0,27836,0,"2020-04-05"
"482","Alblasserdam",5,20165,24.8,"2020-04-05"
"613","Albrandswaard",5,25589,19.5,"2020-04-05"
"361","Alkmaar",34,109444,31.1,"2020-04-05"
"141","Almelo",14,73080,19.2,"2020-04-05"
"34","Almere",77,211840,36.3,"2020-04-05"
"484","Alphen aan den Rijn",38,111889,34,"2020-04-05"
"1723","Alphen-Chaam",11,10213,107.7,"2020-04-05"
"1959","Altena",21,55980,37.5,"2020-04-05"
"60","Ameland",0,3718,0,"2020-04-05"
"307","Amersfoort",36,157279,22.9,"2020-04-05"
"362","Amstelveen",37,91691,40.4,"2020-04-05"
"363","Amsterdam",323,872779,37,"2020-04-05"
"200","Apeldoorn",28,163829,17.1,"2020-04-05"
"3","Appingedam",2,11644,17.2,"2020-04-05"
"202","Arnhem",40,161368,24.8,"2020-04-05"
"106","Assen",7,68606,10.2,"2020-04-05"
"743","Asten",8,16734,47.8,"2020-04-05"
"744","Baarle-Nassau",1,6860,14.6,"2020-04-05"
"308","Baarn",7,24873,28.1,"2020-04-05"
"489","Barendrecht",21,48713,43.1,"2020-04-05"
"203","Barneveld",9,59077,15.2,"2020-04-05"
"888","Beek",10,15868,63,"2020-04-05"
"1954","Beekdaelen",32,35976,88.9,"2020-04-05"
"370","Beemster",4,10025,39.9,"2020-04-05"
"889","Beesel",11,13483,81.6,"2020-04-05"
"1945","Berg en Dal",25,34990,71.4,"2020-04-05"
"1724","Bergeijk",9,18638,48.3,"2020-04-05"
"893","Bergen (L.)",4,13085,30.6,"2020-04-05"
"373","Bergen (NH.)",11,29844,36.9,"2020-04-05"
"748","Bergen op Zoom",14,67489,20.7,"2020-04-05"
"1859","Berkelland",1,43748,2.3,"2020-04-05"
"1721","Bernheze",70,31247,224,"2020-04-05"
"753","Best",24,29985,80,"2020-04-05"
"209","Beuningen",15,25891,57.9,"2020-04-05"
"375","Beverwijk",10,41613,24,"2020-04-05"
"1728","Bladel",12,20395,58.8,"2020-04-05"
"376","Blaricum",5,11536,43.3,"2020-04-05"
"377","Bloemendaal",4,23570,17,"2020-04-05"
"1901","Bodegraven-Reeuwijk",5,34869,14.3,"2020-04-05"
"755","Boekel",27,10784,250.4,"2020-04-05"
"1681","Borger-Odoorn",2,25558,7.8,"2020-04-05"
"147","Borne",13,23313,55.8,"2020-04-05"
"654","Borsele",3,22738,13.2,"2020-04-05"
"756","Boxmeer",14,29371,47.7,"2020-04-05"
"757","Boxtel",11,30803,35.7,"2020-04-05"
"758","Breda",126,184271,68.4,"2020-04-05"
"501","Brielle",7,17282,40.5,"2020-04-05"
"1876","Bronckhorst",1,36052,2.8,"2020-04-05"
"213","Brummen",6,20756,28.9,"2020-04-05"
"899","Brunssum",25,27817,89.9,"2020-04-05"
"312","Bunnik",6,15191,39.5,"2020-04-05"
"313","Bunschoten",3,21867,13.7,"2020-04-05"
"214","Buren",7,26742,26.2,"2020-04-05"
"502","Capelle aan den IJssel",23,67151,34.3,"2020-04-05"
"383","Castricum",12,35988,33.3,"2020-04-05"
