"date","number","hosp_number","death_number"
"2020-02-27",1,NA,NA
"2020-02-28",2,NA,NA
"2020-02-29",7,NA,NA
"2020-03-01",10,NA,NA
"2020-03-02",18,NA,NA
"2020-03-03",24,NA,NA
"2020-03-04",38,NA,NA
"2020-03-05",82,NA,NA
"2020-03-06",128,NA,1
"2020-03-07",188,NA,1
"2020-03-08",265,NA,3
"2020-03-09",321,NA,3
"2020-03-10",382,NA,4
"2020-03-11",503,NA,5
"2020-03-12",613,86,5
"2020-03-13",804,115,10
"2020-03-14",959,136,12
"2020-03-15",1135,162,20
"2020-03-16",1413,205,24
"2020-03-17",1703,314,43
"2020-03-18",2051,408,58
"2020-03-19",2460,489,76
"2020-03-20",2994,634,106
"2020-03-21",3631,836,136
"2020-03-22",4204,988,179
"2020-03-23",4749,1230,213
"2020-03-24",5560,1495,276
"2020-03-25",6412,1836,356
"2020-03-26",7431,2151,434
"2020-03-27",8603,2500,546
"2020-03-28",9762,2954,639
"2020-03-29",10866,3483,771
"2020-03-30",11750,3990,864
"2020-03-31",12595,4712,1039
"2020-04-01",13614,5159,1173
"2020-04-02",14697,5784,1339
"2020-04-03",15723,6286,1487
"2020-04-04",16627,6622,1651
"2020-04-05",17851,6875,1766
