"uuid","muniid","municipality","hosp_number","population","hosp_number_per_inhabitants","date"
"796-20200331","796","'s-Hertogenbosch",67,155113,43.2,"2020-03-31"
"1680-20200331","1680","Aa and Hunze",1,25453,3.9,"2020-03-31"
"358-20200331","358","Aalsmeer",5,31857,15.7,"2020-03-31"
"197-20200331","197","Aalten",1,27117,3.7,"2020-03-31"
"59-20200331","59","Achtkarspelen",0,27836,0,"2020-03-31"
"482-20200331","482","Alblasserdam",2,20165,9.9,"2020-03-31"
"613-20200331","613","Albrandswaard",4,25589,15.6,"2020-03-31"
"361-20200331","361","Alkmaar",19,109444,17.4,"2020-03-31"
"141-20200331","141","Almelo",8,73080,10.9,"2020-03-31"
"34-20200331","34","Almere",46,211840,21.7,"2020-03-31"
"484-20200331","484","Alphen aan den Rijn",29,111889,25.9,"2020-03-31"
"1723-20200331","1723","Alphen-Chaam",9,10213,88.1,"2020-03-31"
"1959-20200331","1959","Altena",17,55980,30.4,"2020-03-31"
"60-20200331","60","Ameland",0,3718,0,"2020-03-31"
"307-20200331","307","Amersfoort",24,157279,15.3,"2020-03-31"
"362-20200331","362","Amstelveen",28,91691,30.5,"2020-03-31"
"363-20200331","363","Amsterdam",244,872779,28,"2020-03-31"
"200-20200331","200","Apeldoorn",19,163829,11.6,"2020-03-31"
"3-20200331","3","Appingedam",1,11644,8.6,"2020-03-31"
"202-20200331","202","Arnhem",28,161368,17.4,"2020-03-31"
"106-20200331","106","Axles",5,68606,7.3,"2020-03-31"
"743-20200331","743","Asten",4,16734,23.9,"2020-03-31"
"744-20200331","744","Baarle-Nassau",1,6860,14.6,"2020-03-31"
"308-20200331","308","Baarn",2,24873,8,"2020-03-31"
"489-20200331","489","Barendrecht",16,48713,32.8,"2020-03-31"
"203-20200331","203","Barneveld",5,59077,8.5,"2020-03-31"
"888-20200331","888","Beek",0,15868,0,"2020-03-31"
"1954-20200331","1954","Beekdaelen",12,35976,33.4,"2020-03-31"
"370-20200331","370","Beemster",2,10025,20,"2020-03-31"
"889-20200331","889","Beesel",10,13483,74.2,"2020-03-31"
"1945-20200331","1945","Berg en Dal",15,34990,42.9,"2020-03-31"
"1724-20200331","1724","Bergeijk",5,18638,26.8,"2020-03-31"
"893-20200331","893","Bergen (L.)",3,13085,22.9,"2020-03-31"
"373-20200331","373","Bergen (NH.)",8,29844,26.8,"2020-03-31"
"748-20200331","748","Bergen op Zoom",11,67489,16.3,"2020-03-31"
"1859-20200331","1859","Berkelland",1,43748,2.3,"2020-03-31"
"1721-20200331","1721","Bernheze",57,31247,182.4,"2020-03-31"
"753-20200331","753","Best",18,29985,60,"2020-03-31"
"209-20200331","209","Beuningen",12,25891,46.3,"2020-03-31"
"375-20200331","375","Beverwijk",5,41613,12,"2020-03-31"
"1728-20200331","1728","Bladel",7,20395,34.3,"2020-03-31"
"376-20200331","376","Blaricum",1,11536,8.7,"2020-03-31"
"377-20200331","377","Bloemendaal",3,23570,12.7,"2020-03-31"
"1901-20200331","1901","Bodegraven-Reeuwijk",2,34869,5.7,"2020-03-31"
"755-20200331","755","Boekel",21,10784,194.7,"2020-03-31"
"1681-20200331","1681","Borger-Odoorn",1,25558,3.9,"2020-03-31"
"147-20200331","147","Borne",10,23313,42.9,"2020-03-31"
"654-20200331","654","Borsele",3,22738,13.2,"2020-03-31"
"756-20200331","756","Boxmeer",8,29371,27.2,"2020-03-31"
"757-20200331","757","Boxtel",9,30803,29.2,"2020-03-31"
"758-20200331","758","Breda",113,184271,61.3,"2020-03-31"
"501-20200331","501","Brielle",5,17282,28.9,"2020-03-31"
"1876-20200331","1876","Bronckhorst",1,36052,2.8,"2020-03-31"
"213-20200331","213","Brummen",3,20756,14.5,"2020-03-31"
"899-20200331","899","Brunssum",9,27817,32.4,"2020-03-31"
"312-20200331","312","Bunnik",4,15191,26.3,"2020-03-31"
"313-20200331","313","Bunschoten",1,21867,4.6,"2020-03-31"
"214-20200331","214","Buren",5,26742,18.7,"2020-03-31"
"502-20200331","502","Capelle aan den IJssel",20,67151,29.8,"2020-03-31"
"383-20200331","383","Castricum",8,35988,22.2,"2020-03-31"
"109-20200331","109","Coevorden",5,35296,14.2,"2020-03-31"
"1706-20200331","1706","Cranendonck",28,21166,132.3,"2020-03-31"
"1684-20200331","1684","Cuijk",5,25139,19.9,"2020-03-31"
"216-20200331","216","Culemborg",13,28956,44.9,"2020-03-31"
"148-20200331","148","Dalfsen",7,28585,24.5,"2020-03-31"
"1891-20200331","1891","Dantumadiel",0,18916,0,"2020-03-31"
"310-20200331","310","De Bilt",11,43124,25.5,"2020-03-31"
"1940-20200331","1940","De Fryske Marren",11,51567,21.3,"2020-03-31"
"736-20200331","736","De Ronde Venen",11,44457,24.7,"2020-03-31"
"1690-20200331","1690","De Wolden",2,24327,8.2,"2020-03-31"
"503-20200331","503","Delft",19,103659,18.3,"2020-03-31"
"10-20200331","10","Delfzijl",4,24666,16.2,"2020-03-31"
"400-20200331","400","Den Helder",6,56305,10.7,"2020-03-31"
"762-20200331","762","Deurne",34,32474,104.7,"2020-03-31"
"150-20200331","150","Deventer",21,100718,20.9,"2020-03-31"
"384-20200331","384","Diemen",4,30781,13,"2020-03-31"
"1774-20200331","1774","Dinkelland",11,26470,41.6,"2020-03-31"
"221-20200331","221","Doesburg",3,11078,27.1,"2020-03-31"
"222-20200331","222","Doetinchem",5,58009,8.6,"2020-03-31"
"766-20200331","766","Dongen",7,26226,26.7,"2020-03-31"
"505-20200331","505","Dordrecht",26,119300,21.8,"2020-03-31"
"498-20200331","498","Drechterland",1,19717,5.1,"2020-03-31"
"1719-20200331","1719","Drimmelen",14,27274,51.3,"2020-03-31"
"303-20200331","303","Dronten",8,41569,19.2,"2020-03-31"
"225-20200331","225","Druten",12,18918,63.4,"2020-03-31"
"226-20200331","226","Duiven",4,25124,15.9,"2020-03-31"
"1711-20200331","1711","Echt-Susteren",20,31618,63.3,"2020-03-31"
"385-20200331","385","Edam-Volendam",10,36201,27.6,"2020-03-31"
"228-20200331","228","Ede",24,117166,20.5,"2020-03-31"
"317-20200331","317","Eemnes",1,9247,10.8,"2020-03-31"
"770-20200331","770","Eersel",11,19314,57,"2020-03-31"
"1903-20200331","1903","Eijsden-Margraten",6,25753,23.3,"2020-03-31"
"772-20200331","772","Eindhoven",46,234456,19.6,"2020-03-31"
"230-20200331","230","Elburg",2,23161,8.6,"2020-03-31"
"114-20200331","114","Emmen",6,107055,5.6,"2020-03-31"
"388-20200331","388","Enkhuizen",13,18592,69.9,"2020-03-31"
"153-20200331","153","Enschede",24,159734,15,"2020-03-31"
"232-20200331","232","Epe",7,33186,21.1,"2020-03-31"
"233-20200331","233","Ermelo",8,27005,29.6,"2020-03-31"
"777-20200331","777","Etten-Leur",21,43880,47.9,"2020-03-31"
"779-20200331","779","Geertruidenberg",7,21538,32.5,"2020-03-31"
"1771-20200331","1771","Geldrop-Mierlo",9,39733,22.7,"2020-03-31"
"1652-20200331","1652","Gemert-Bakel",48,30725,156.2,"2020-03-31"
"907-20200331","907","Gennep",9,16924,53.2,"2020-03-31"
"784-20200331","784","Gilze en Rijen",13,26438,49.2,"2020-03-31"
"1924-20200331","1924","Goeree-Overflakkee",24,50049,48,"2020-03-31"
"664-20200331","664","Goes",5,38080,13.1,"2020-03-31"
"785-20200331","785","Goirle",16,23906,66.9,"2020-03-31"
"1942-20200331","1942","Gooise Meren",10,58041,17.2,"2020-03-31"
"512-20200331","512","Gorinchem",9,37009,24.3,"2020-03-31"
"513-20200331","513","Gouda",13,73443,17.7,"2020-03-31"
"786-20200331","786","Grave",10,12437,80.4,"2020-03-31"
"14-20200331","14","Groningen",9,232922,3.9,"2020-03-31"
"1729-20200331","1729","Gulpen-Wittem",2,14176,14.1,"2020-03-31"
"158-20200331","158","Haaksbergen",4,24309,16.5,"2020-03-31"
"788-20200331","788","Haaren",14,14371,97.4,"2020-03-31"
"392-20200331","392","Haarlem",26,162961,16,"2020-03-31"
"394-20200331","394","Haarlemmermeer",31,156039,19.9,"2020-03-31"
"1655-20200331","1655","Halderberge",9,30277,29.7,"2020-03-31"
"160-20200331","160","Hardenberg",9,60940,14.8,"2020-03-31"
"243-20200331","243","Harderwijk",8,48429,16.5,"2020-03-31"
"523-20200331","523","Hardinxveld-Giessendam",1,18295,5.5,"2020-03-31"
"72-20200331","72","Harlingen",1,15720,6.4,"2020-03-31"
"244-20200331","244","Hattem",3,12213,24.6,"2020-03-31"
"396-20200331","396","Heemskerk",14,39188,35.7,"2020-03-31"
"397-20200331","397","Heemstede",4,27239,14.7,"2020-03-31"
"246-20200331","246","Heerde",17,18587,91.5,"2020-03-31"
"74-20200331","74","Heerenveen",5,50494,9.9,"2020-03-31"
"398-20200331","398","Heerhugowaard",17,57592,29.5,"2020-03-31"
